[Lab2] Flow matching on symmetric GMM ...

  0%|          | 0/5000 [00:00<?, ?it/s]
loss: 103.8338:   0%|          | 0/5000 [00:00<?, ?it/s]
loss: 43.7446:   1%|¨‡         | 74/5000 [00:01<01:29, 54.90it/s]
loss: 30.0828:   1%|¨‡         | 74/5000 [00:01<01:29, 54.90it/s]
loss: 26.1729:   1%|¨‡         | 74/5000 [00:01<01:29, 54.90it/s]
loss: 29.4006:   1%|¨‡         | 74/5000 [00:01<01:29, 54.90it/s]
loss: 28.1126:   1%|¨‡         | 74/5000 [00:01<01:29, 54.90it/s]
loss: 29.3002:   1%|¨‡         | 74/5000 [00:01<01:29, 54.90it/s]
loss: 31.8933:   1%|¨‡         | 74/5000 [00:01<01:29, 54.90it/s]
loss: 31.8933:   2%|¨‡         | 80/5000 [00:01<01:35, 51.75it/s]
loss: 27.7863:   2%|¨‡         | 80/5000 [00:01<01:35, 51.75it/s]
loss: 28.0379:   2%|¨‡         | 80/5000 [00:01<01:35, 51.75it/s]
loss: 26.1919:   2%|¨‡         | 80/5000 [00:01<01:35, 51.75it/s]
loss: 26.2767:   2%|¨‡         | 80/5000 [00:01<01:35, 51.75it/s]
loss: 27.0240:   2%|¨‡         | 80/5000 [00:01<01:35, 51.75it/s]
loss: 29.9324:   2%|¨‡         | 80/5000 [00:01<01:35, 51.75it/s]
loss: 29.9324:   2%|¨‡         | 86/5000 [00:01<01:36, 50.99it/s]
loss: 30.2100:   2%|¨‡         | 86/5000 [00:01<01:36, 50.99it/s]
loss: 29.8954:   2%|¨‡         | 86/5000 [00:01<01:36, 50.99it/s]
loss: 29.2794:   2%|¨‡         | 86/5000 [00:01<01:36, 50.99it/s]
loss: 34.7192:   2%|¨‡         | 86/5000 [00:01<01:36, 50.99it/s]
loss: 28.0111:   2%|¨‡         | 86/5000 [00:01<01:36, 50.99it/s]
loss: 113.7705:   2%|¨‡         | 86/5000 [00:01<01:36, 50.99it/s]
loss: 113.7705:   2%|¨‡         | 92/5000 [00:01<01:38, 49.84it/s]
loss: 26.3912:   2%|¨‡         | 92/5000 [00:01<01:38, 49.84it/s] 
loss: 26.9601:   2%|¨‡         | 92/5000 [00:01<01:38, 49.84it/s]
loss: 26.3621:   2%|¨‡         | 92/5000 [00:01<01:38, 49.84it/s]
loss: 25.7025:   2%|¨‡         | 92/5000 [00:01<01:38, 49.84it/s]
loss: 29.7198:   2%|¨‡         | 92/5000 [00:01<01:38, 49.84it/s]
loss: 27.1702:   2%|¨‡         | 92/5000 [00:01<01:38, 49.84it/s]
loss: 27.1702:   2%|¨‡         | 98/5000 [00:01<01:37, 50.33it/s]
loss: 25.9827:   2%|¨‡         | 98/5000 [00:01<01:37, 50.33it/s]
loss: 25.4151:   2%|¨‡         | 98/5000 [00:01<01:37, 50.33it/s]
